City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,San Carlos De Bariloche,AR,-41.1456,-71.3082,31.24,70,64,3.62,broken clouds
267,Sao Filipe,CV,14.8961,-24.4956,77.68,79,100,6.91,overcast clouds
268,Gonzales,US,30.2385,-90.9201,81.99,89,0,3.44,clear sky
269,Sitka,US,57.0531,-135.33,60.69,82,100,3.44,light intensity drizzle
270,Vaitape,PF,-16.5167,-151.75,79.2,70,14,22.55,light rain
271,Serenje,ZM,-13.2325,30.2352,51.33,64,0,4.14,clear sky
272,Geraldton,AU,-28.7667,114.6,50.41,87,0,11.5,clear sky
273,Labuhan,ID,-6.8844,112.2051,78.6,74,93,8.99,overcast clouds
274,Teya,RU,60.3778,92.6267,71.94,76,25,2.57,scattered clouds
275,Brigantine,US,39.4101,-74.3646,80.8,63,20,5.75,few clouds
276,Porto Novo,BJ,6.4965,2.6036,74.52,81,100,8.25,overcast clouds
277,Leshukonskoye,RU,64.8989,45.7622,59.09,92,66,1.57,broken clouds
278,Chernyshevsk,RU,52.5243,117.0174,68.86,75,29,6.33,scattered clouds
279,Mbuji-Mayi,CD,-6.15,23.6,76.93,52,83,2.35,broken clouds
280,Belyy Yar,RU,53.6039,91.3903,69.69,78,0,2.24,clear sky
281,Dekar,BW,-21.5333,21.9333,57.51,31,1,4.94,clear sky
282,Turner,US,44.2565,-70.2562,70.84,75,0,7.0,clear sky
283,Unity,CA,52.4501,-109.1682,69.26,70,28,9.28,scattered clouds
284,Irituia,BR,-1.7711,-47.4381,73.45,98,82,3.36,broken clouds
285,Ternate,ID,0.8,127.4,82.65,70,86,1.81,overcast clouds
286,Campbell River,CA,50.0163,-125.2446,84.25,30,0,5.57,clear sky
287,Saint George,US,37.1041,-113.5841,98.44,28,20,4.0,few clouds
288,Hami,CN,42.8,93.45,88.38,20,100,5.01,overcast clouds
289,Mar Del Plata,AR,-38.0023,-57.5575,53.1,86,0,8.99,clear sky
290,Chicama,PE,-7.8447,-79.1469,63.16,82,44,5.88,scattered clouds
291,Banjar,ID,-8.19,114.9675,80.62,66,100,2.73,overcast clouds
292,Roald,NO,62.5833,6.1333,63.52,88,100,0.0,light rain
293,Birchis,RO,45.9667,22.1667,64.29,99,100,3.96,moderate rain
294,Concepcion Del Oro,MX,24.6333,-101.4167,69.84,39,80,18.21,broken clouds
295,Kibala,TD,9.1104,18.3463,70.43,96,43,2.93,light rain
296,Pimentel,PE,-6.8367,-79.9342,62.46,83,78,15.43,broken clouds
297,Iralaya,HN,15.0,-83.2333,80.94,85,100,13.06,overcast clouds
298,Palana,RU,59.1167,159.9667,59.61,59,58,10.29,broken clouds
299,Samsun,TR,41.25,36.3333,73.99,74,40,3.44,scattered clouds
300,Ulladulla,AU,-35.35,150.4667,57.56,48,100,8.01,overcast clouds
301,Lar,IN,26.2039,83.9717,85.64,71,100,5.28,moderate rain
302,Husavik,IS,66.0449,-17.3389,42.76,93,100,19.69,overcast clouds
303,Stonewall,CA,50.1344,-97.3268,84.02,62,13,1.99,few clouds
304,Moose Factory,CA,51.2585,-80.6094,53.58,94,100,3.44,fog
305,Pushkinskiye Gory,RU,57.0209,28.9103,48.54,86,22,3.8,few clouds
306,Lazaro Cardenas,MX,17.9583,-102.2,82.49,74,100,2.39,overcast clouds
307,Ilulissat,GL,69.2167,-51.1,48.22,81,100,5.75,overcast clouds
308,Beitbridge,ZW,-22.2167,30.0,61.45,33,0,3.89,clear sky
309,Hirara,JP,24.8,125.2833,84.4,76,100,5.64,light rain
310,Skibbereen,IE,51.55,-9.2667,62.11,98,100,13.56,overcast clouds
311,Wanxian,CN,30.8039,108.3897,84.83,72,2,2.8,clear sky
312,Ilebo,CD,-4.3167,20.5833,70.68,63,7,0.81,clear sky
313,Salalah,OM,17.0151,54.0924,75.29,94,75,6.91,broken clouds
314,Gorin,RU,51.1983,136.6669,70.48,68,85,4.36,overcast clouds
315,Mazamari,PE,-11.3258,-74.5308,74.37,75,87,0.81,overcast clouds
316,Gulu,UG,2.7746,32.299,63.34,99,95,3.2,overcast clouds
317,Brandon,US,27.9378,-82.2859,88.88,71,0,3.44,clear sky
318,Bilma,NE,18.6853,12.9164,88.21,33,20,7.43,few clouds
319,Moron,AR,-34.6534,-58.6198,58.75,78,95,4.32,overcast clouds
320,Pirgos,GR,35.1167,25.7178,82.62,31,0,7.36,clear sky
321,Scarborough,GB,54.2797,-0.4044,63.97,91,100,6.42,moderate rain
322,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,78.04,49,0,3.04,clear sky
323,Hay River,CA,60.8156,-115.7999,63.32,51,25,5.03,scattered clouds
324,Machico,PT,32.7,-16.7667,73.0,80,40,16.11,scattered clouds
325,Morales,CO,2.757,-76.6172,60.33,96,99,1.1,overcast clouds
326,Tateyama,JP,34.9833,139.8667,83.89,76,2,11.1,clear sky
327,Evensk,RU,61.95,159.2333,52.74,83,100,13.73,overcast clouds
328,Tatarsk,RU,55.219,75.9828,62.42,83,21,6.02,few clouds
329,Klaksvik,FO,62.2266,-6.589,50.92,80,2,13.0,clear sky
330,Brae,GB,60.3964,-1.353,52.07,84,10,12.44,clear sky
331,Saint-Leu,RE,-21.15,55.2833,70.57,73,37,6.29,scattered clouds
332,Beidao,CN,34.5686,105.8933,79.66,67,100,4.32,overcast clouds
333,Chara,RU,56.9064,118.2631,66.38,68,100,2.24,overcast clouds
334,Bulgan,MN,48.8125,103.5347,65.75,62,1,3.76,clear sky
335,Nowa Deba,PL,50.4297,21.7508,65.95,97,100,8.34,overcast clouds
336,Chitose,JP,42.8194,141.6522,90.1,74,75,4.61,broken clouds
337,Dicabisagan,PH,17.0818,122.4157,85.96,67,99,1.01,overcast clouds
338,Karratha,AU,-20.7377,116.8463,75.42,41,10,7.16,clear sky
339,Sigli,ID,5.3848,95.9609,80.73,70,100,4.54,overcast clouds
340,Miandrivazo,MG,-19.5167,45.4667,69.26,81,99,0.81,light rain
341,Crawfordsville,US,40.0411,-86.8745,79.92,56,0,0.0,clear sky
342,Tilichiki,RU,60.4667,166.1,51.8,84,100,7.16,light rain
343,Niquelandia,BR,-14.4739,-48.4597,70.14,28,0,2.82,clear sky
344,Filingue,NE,14.3521,3.3168,80.02,64,100,20.33,overcast clouds
345,Abha,SA,18.2164,42.5053,66.45,77,100,0.0,overcast clouds
