City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Dicabisagan,PH,85.96,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
338,Karratha,AU,75.42,clear sky,-20.7377,116.8463,ibis Styles Karratha
339,Sigli,ID,80.73,overcast clouds,5.3848,95.9609,Losmen Dua Mali
341,Crawfordsville,US,79.92,clear sky,40.0411,-86.8745,"Holiday Inn Express & Suites Crawfordsville, an IHG Hotel"
344,Filingue,NE,80.02,overcast clouds,14.3521,3.3168,
346,Gondanglegi,ID,78.78,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
349,Nuevitas,CU,80.26,broken clouds,21.5453,-77.2644,Hotel Caonaba
356,Gewane,ET,79.9,light rain,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
358,Caucaia,BR,79.03,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
363,Lusambo,CD,75.79,overcast clouds,-4.9667,23.45,
364,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Novotel Dakar
365,Harper,LR,75.07,overcast clouds,4.375,-7.7169,Screensaver
371,Tricase,IT,79.32,clear sky,39.9304,18.3553,Hotel Adriatico
375,Marshall,US,79.32,scattered clouds,34.3834,-86.3333,Riverview Campground
376,Samarai,PG,80.8,clear sky,-10.6167,150.6667,Nuli Sapi
378,Atar,MR,85.1,light rain,20.5169,-13.0499,Oumou Elghoura
382,Tabuk,PH,82.29,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
383,Tutoia,BR,78.53,scattered clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
386,Dandong,CN,76.73,overcast clouds,40.1292,124.3947,Yiranju Farmstay
391,Fairbanks,US,77.02,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
393,Yumen,CN,82.02,overcast clouds,40.2833,97.2,
394,George Town,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
396,Keokuk,US,77.52,clear sky,40.3973,-91.3849,Hampton Inn Keokuk
400,Manavgat,TR,77.97,clear sky,36.7867,31.4431,Lake & River Side Hotel & Spa
405,Mangit,UZ,76.84,broken clouds,40.5971,70.9607,Dangara Hotel
410,Mukhen,RU,82.26,few clouds,48.1,136.1,
411,Mersing,MY,80.37,overcast clouds,2.4312,103.8405,Timotel Hotel
413,Tamandare,BR,75.22,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
417,Gorontalo,ID,80.83,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
421,Waghai,IN,75.81,broken clouds,20.7667,73.4833,Kilad Eco Tourism
426,Ponca City,US,80.89,clear sky,36.707,-97.0856,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
428,Ligayan,PH,82.96,overcast clouds,4.6533,119.4706,
432,Pemangkat,ID,78.94,light rain,1.1667,108.9667,Ramah Kost KITA
433,Bardiyah,LY,77.29,clear sky,31.7561,25.0865,بورتو بردية
434,Sooke,CA,88.09,clear sky,48.3746,-123.7276,Sooke Harbour House Hotel & Resort
435,Porto Velho,BR,80.65,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
438,Port Said,EG,79.83,broken clouds,31.2565,32.2841,Aracan Hotel
439,Kailua,US,87.78,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
442,Itarema,BR,78.03,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
447,Tabas,IR,87.55,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
450,Jega,NG,75.4,light rain,12.2175,4.3792,ALH. Nasiru Ibrahim
453,Qianan,CN,79.97,clear sky,44.9932,124.0581,Qian'an Hotel
454,Bubaque,GW,79.29,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
462,Teahupoo,PF,78.76,scattered clouds,-17.8333,-149.2667,Vanira Lodge
463,Makakilo City,US,86.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
464,Smithers,CA,83.7,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
468,Kaka,TM,81.55,light rain,37.3482,59.6143,
470,Kulhudhuffushi,MV,80.71,heavy intensity rain,6.6221,73.07,Haajy Guest House 1
476,Shingu,JP,86.97,scattered clouds,33.7333,135.9833,Shingu UI Hotel
