City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Torres,BR,2022-07-29 09:51:26,-29.3353,-49.7269,48.83,75,31,14.9
162,Tiksi,RU,2022-07-29 09:51:26,71.6872,128.8694,46.44,85,100,2.89
163,Magalia,US,2022-07-29 09:51:27,39.8121,-121.5783,69.55,31,2,4.12
164,Robe,AU,2022-07-29 09:51:27,-37.1833,139.75,47.59,70,7,10.25
165,Sao Joao Da Barra,BR,2022-07-29 09:51:28,-21.6403,-41.0511,66.29,64,36,11.88
166,Georgetown,MY,2022-07-29 09:48:32,5.4112,100.3354,89.55,66,20,11.99
167,Tigil,RU,2022-07-29 09:51:29,57.8,158.6667,48.9,79,100,9.06
168,Fortuna,US,2022-07-29 09:51:29,40.5982,-124.1573,58.93,92,100,3.44
169,Mezen,RU,2022-07-29 09:51:29,65.8522,44.24,61.18,86,100,11.48
170,Ornskoldsvik,SE,2022-07-29 09:51:30,63.2909,18.7153,63.55,59,75,5.75
171,Kassala,SD,2022-07-29 09:51:30,15.451,36.4,83.17,56,100,12.12
172,Coquimbo,CL,2022-07-29 09:51:31,-29.9533,-71.3436,49.73,100,75,1.14
173,Fairbanks,US,2022-07-29 09:50:42,64.8378,-147.7164,48.6,85,0,3.44
174,Port Blair,IN,2022-07-29 09:51:31,11.6667,92.75,78.84,89,40,1.14
175,Kungurtug,RU,2022-07-29 09:51:32,50.5994,97.5228,73.08,26,63,6.24
176,Hovd,MN,2022-07-29 09:51:32,48.0056,91.6419,80.83,21,71,3.15
177,Nome,US,2022-07-29 09:51:33,64.5011,-165.4064,55.47,67,0,12.66
178,Hearst,CA,2022-07-29 09:51:33,49.6835,-83.6665,55.65,99,100,9.44
179,Kalangala,UG,2022-07-29 09:51:34,-0.3089,32.225,79.95,60,89,6.53
180,Pangnirtung,CA,2022-07-29 09:51:34,66.1451,-65.7125,48.52,91,100,4.5
181,Yanam,IN,2022-07-29 09:51:34,16.7333,82.2167,88.09,64,84,7.56
182,Owando,CG,2022-07-29 09:51:35,-0.4819,15.8999,87.62,44,85,4.97
183,Flin Flon,CA,2022-07-29 09:51:35,54.7682,-101.865,59.45,72,47,9.75
184,Ginda,IN,2022-07-29 09:51:36,30.6945,78.4932,68.31,90,100,2.19
185,Codrington,AU,2022-07-29 09:51:36,-38.2667,141.9667,41.36,85,49,7.38
186,Aracuai,BR,2022-07-29 09:52:37,-16.8497,-42.0703,61.66,69,0,0.69
187,Safford,US,2022-07-29 09:52:37,32.834,-109.7076,74.12,72,98,2.26
188,Caseiu,RO,2022-07-29 09:52:37,47.1833,23.8667,81.43,32,95,4.27
189,Vvedenskoye,RU,2022-07-29 09:52:38,55.4753,65.0847,71.65,57,88,11.88
190,Chuy,UY,2022-07-29 09:52:38,-33.6971,-53.4616,49.17,89,100,14.88
